SKU,Nama Barang,SKU GPU
100907,RTLP Borges Extra Virgin Olive Oil 250 ml,100907
101394,RTLP Borges Extra Virgin Olive Oil 500 ml,101394
101503,RTLP Boss Sosis Keju Mini 550 gr,101503
101504,RTLP Boss Sosis Lada Hitam Mini 550 gr,101504
101502,RTLP Boss Sosis Original Mini 550 gr,101502
101363,RTLP Bumifood Crispy Mix Seafood 210 gr,101363
101364,RTLP Bumifood Hakau 222gr,101364
101365,RTLP Bumifood Lumpia Ayam 210 gr,101365
101366,RTLP Bumifood Martabak Ayam 222gr,101366
101367,RTLP Bumifood Samosa 144 gr,101367
100917,RTLP Cedea Baso Ikan Besar 500 gr,100917
101200,RTLP Cedea Baso Udang 500 gr,101200
100615,RTLP Cedea Chikuwa 1kg,100615
100908,RTLP Cedea Chikuwa 250 gr,100908
100627,RTLP Cedea Crab Stick 1kg,100627
100909,RTLP Cedea Crab Stick 250 gr,100909
100617,RTLP Cedea Dumpling Swiekiau 500gr,100617
100614,RTLP Cedea Fish Ball Tr 1kg,100614
100628,RTLP Cedea Fish Dumpling Cheese 500gr,100628
100911,RTLP Cedea Fish Dumpling Chicken 500 gr,100911
100684,RTLP Cedea Fish Roll 1kg,100684
101218,RTLP Cedea Fish Roll 250 gr,101218
100915,RTLP Cedea Fish Roll 500 gr,100915
100912,RTLP Cedea Fried Fish Cake Spore 500 gr,100912
100913,RTLP Cedea Nugget Kepiting 500 gr,100913
100613,RTLP Cedea Otak-Otak Singapore 1 kg,100613
101473,RTLP Cedea Premium Salmon Sausage 390 gr,101473
100914,RTLP Cedea Salmon Ball 500 gr,100914
100616,RTLP Cedea Seafood Tofu 500 gr,100616
100840,RTLP Cedea Steamboat Set 500 gr,100840
100916,RTLP Cedea Steamboat Tom Yum 300 gr,100916
100910,RTLP Cedea Tahu Baso Seafood 500 gr,100910
100962,RTLP Diamond Milk UHT Chocolate 1 L,100962
100960,RTLP Diamond Milk UHT Chocolate 200 ml,100960
100961,RTLP Diamond Milk UHT Full Cream 1 L,100961
100959,RTLP Diamond Milk UHT Full Cream 200 ml,100959
100981,RTLP Diamond Milk UHT Strawberry 200 ml,100981
101095,RTLP Dua Belibis Saus Cabe 135 ml,101095
101096,RTLP Dua Belibis Saus Cabe 535 ml,101096
100589,RTLP Elprimo Bakso Sapi Super 750 gr,100589
100670,RTLP Elprimo Beef Pepperoni Pre-Sliced 500 gr,100670
100666,RTLP Elprimo Beef Rasher Pre-Sliced 500 gr,100666
101499,RTLP Elprimo Pastrami Pre-Sliced 500 gr,101499
100665,RTLP Elprimo Smoked Beef Pre-Sliced 500 gr,100665
101498,RTLP Elprimo Smoked Brisket Pre-Sliced 500 gr,101498
100590,RTLP Elprimo Smoked Shortplate 500 gr,100590
100586,RTLP Elprimo Sosis Ayam Breakfast 1000gr,100586
100588,RTLP Elprimo Sosis Ayam Cheese 1000gr,100588
100585,RTLP Elprimo Sosis Sapi Breakfast 1000 gr,100585
100587,RTLP Elprimo Sosis Sapi Cheese 1000 gr,100587
100786,RTLP Green Valley grated Parmesan Cheese 80gr,100786
101280,RTLP Greenfields Fresh Milk Chocomalt 1000 ml,101280
101279,RTLP Greenfields Fresh Milk Full Cream 1000 ml,101279
101281,RTLP Greenfields Fresh Milk Lowfat Mochaccino 1000 ml,101281
101282,RTLP Greenfields Fresh Milk Strawberry 1000 ml,101282
101295,RTLP Greenfields Stirred Yogurt Blueberry 500gr,101295
101313,RTLP Greenfields Stirred Yogurt Blueberry Mp4 - 125gr (Satuan),101313
101290,RTLP Greenfields Stirred Yogurt Blueberry Mp4 4x125gr,101290
101315,RTLP Greenfields Stirred Yogurt Mango Peach Mp4 - 125gr (Satuan),101315
101292,RTLP Greenfields Stirred Yogurt Mango Peach Mp4 4x125gr,101292
101316,RTLP Greenfields Stirred Yogurt Mixed Berry Mp4 - 125gr (Satuan),101316
101293,RTLP Greenfields Stirred Yogurt Mixed Berry Mp4 4x125gr,101293
101294,RTLP Greenfields Stirred Yogurt Original 500gr,101294
101312,RTLP Greenfields Stirred Yogurt Original Mp4 - 125gr (Satuan),101312
101289,RTLP Greenfields Stirred Yogurt Original Mp4 4x125gr,101289
101314,RTLP Greenfields Stirred Yogurt Strawberry Mp4 - 125gr (Satuan),101314
101291,RTLP Greenfields Stirred Yogurt Strawberry Mp4 4x125gr,101291
101445,RTLP Greenfields UHT Choco Malt 1000 ml,101445
101336,RTLP Greenfields UHT Choco Malt 200 ml,101336
101333,RTLP Greenfields UHT Full Cream 1000 ml,101333
101335,RTLP Greenfields UHT Fullcream 200 ml,101335
101334,RTLP Greenfields UHT Low Fat 1000 ml,101334
101337,RTLP Greenfields UHT Strawberry 200 ml,101337
101288,RTLP Greenfields Yogurt Drink Blueberry 250 ml,101288
